Рецептурный справочник радиолюбителя|Михайлов В. В.
Микросхемы современных зарубежных усилителей низкой частоты - 2. Справочник|Аппаратура
Твой первый радиоприемник|Соболевский А. Г.
Учитесь ремонтировать свой телевизор|Виноградов Л. Н.
Информационные технологии в радиотехнических системах (3-е издание)|Аппаратура
Конструирование любительских телевизоров|Виктор Костиков
Основы радиоуправления|Вейцель В. А.
Молния и молниезащита|Кужекин И. П.
Передвижные электроагрегаты|Казакевич В. М.
Занимательная электроника|Юрий Ревич
Наглядные пособия по радиолокации|Моторичев Иван Александрович
Электрооборудование и автоматизация земснарядов|Семенов Ю. А.
Компьютер в лаборатории радиолюбителя|Гололобов В. Н.
Практическая схемотехника. В 5 книгах|Шустов М. А.
Практическая схемотехника. Полупроводниковые приборы и их применение. Книга 5|Шустов М. А.
Высокочувствительные измерительные усилители|Гик Л. Д.
Робототехника. Программирование в среде TRIK Studio|Скурихина Ю. А.
Смартфоны и коммуникаторы Nokia. Советы и приемы эффективной работы|Юань М. Ю.
Датчики автомобильных электронных систем управления и диагностического оборудования|Набоких В. А.
Электрослесарь по ремонту электрических машин|Кокорев А. С.
Речевое управление роботом. Лингвистика и современные автоматизированные системы|Потапова Р. К.
Радиотехника. От истоков до наших дней|Каганов В. И.
Радиотехнические цепи и сигналы. Компьютеризированный курс|Каганов В. И.
Технологии мобильной связи. Услуги и сервисы|Бельтов А. Г.
«Умный» дом XXI века|Андрей Дементьев
Справочник радиолюбителя. В двух частях|Терещук Р. М.
Технические средства автоматизации. Интерфейсные устройства и микропроцессорные средства|Беккер В. Ф.
Электрическое освещение|Балашов О. П.
Устройство, техническое обслуживание и ремонт лифтов|Манухин С. Б.
Электромонтажные устройства и изделия. Справочник|Ассоциаиция "Росэлектромонтаж"
Двигатели для моделистов: руководство по шаговым двигателям, сервоприводам и другим типам электродвигателей|Мэттью Скарпино
Интернет Вещей. Введение в программирование на Arduino|Муромцев Д. И.
Расчет электрических и магнитных цепей и полей. Решение задач|Лоторейчук Е. А.
Выбор и наладка электрооборудования. Справочное пособие|Варварин В. К.
Импульсная техника и логические элементы ЭКВМ|Яцына С. А.
Введение в мехатронику|Грабченко А. И.
Силовая электроника. Силовые полупроводниковые преобразователи для электропривода и электроснабжения|Онищенко Г. Б.
Силовая электроника: приборы, применение, управление|Уильямс Барри
Расчет источников вторичного питания электронных устройств|Остапенкова О. Н.
Автоматические сервисные станции для обслуживания электрических беспилотных летательных аппаратов|Фетисов В. С.
Мощные транзисторы для телевизоров и мониторов. Справочник|Аппаратура
Теоретические основы разработки и моделирования систем автоматизации|Афонин А. М.
Переходные процессы в линейных электрических цепях (в примерах)|Мякишев В. М.
Домашний компьютер|Зеленко Г. В.
Робофишки. Конструируем роботов. Сборник (4 книги)|Бейктал Джон и др.
Энергосбережение и энергетический менеджмент|Андрижиевский А. А.
Бортовые источники и накопители энергии автотранспортных средств с тяговыми электроприводами|Овсянников Е. М.
Технология межсоединений электронной аппаратуры|Семенец В. В.
Электрические и электронные аппараты|Аппаратура
Кодирование и помехоустойчивость передачи телемеханической информации|Шастова Г.А.
Электрические измерения на линиях связи|Яловицкий М. П.
Электрорадиоизмерения|Винокуров В.И.
Основы теории и применения ферритов в технике измерений и контроля|Богданов Г.Б.
Методы модуляции-демодуляции радиосигналов в системах передачи цифровых сообщений|Журавлев В.И.
Г.В. Куликов - Бытовая аудиоаппаратура. Ремонт и обслуживание|Г.В. Куликов
Джексон Альберт, Дэй Дейвид - Электрика. Популярная энциклопедия от специалистов Legrand. Всё самое важное и нужное|Джексон Альберт
Майкл Предко - PIC-микроконтроллеры. Архитектура и программирование|Майкл Предко
Трубочкина Надежда - Моделирование 3D наносхемотехники|Трубочкина Надежда
Богомолов Сергей - Основы электроники и цифровой схемотехники|Богомолов Сергей
Шрайбер Герман - 300 схем источников питания|Шрайбер Герман
1000 и одна микроконтроллерная схема. Выпуск 3|Рюмик С. М.
1000 и одна микроконтроллерная схема. Выпуск 2 (+ CD)|Рюмик С. М.
1000 и одна микроконтроллерная схема. Выпуск 1 (+ CD)|Рюмик С. М.
Импульсные стабилизаторы напряжения с шунтовым принципом регулирования|Алатов И. В.
Намоточные станки|Скороходов Е. А.
Электротехника и электроника|Ермуратский П. В.
Электронные системы охраны|Кадино Эрве
Интегральные микросхемы. Справочник|Тарабрин Б
"Шпионские штучки 2" или как сберечь свои секреты|Владимир Андрианов
Ремонт и модернизация трансформаторов|Фарбман С. А.
Промышленные контроллеры Twido|Васильев С. А.
Вопросы избирательности радиоприемников|Обломов Александр Федорович
Проверка исправности электрорадиодеталей в домашних условиях|Почепа А. М.
Теория электрических цепей|Батура М. П.
Ветрогенераторы, солнечные батареи и другие полезные конструкции|Кашкаров А. П.
Варисторы и разрядники фирмы Siemens & Matsushita|Аппаратура
Миллиметровая радиолокация. Методы обнаружения и наведения в условиях естественных и организованных помех|Борзов А. Б.
Приборы физической электроники|Астайкин А. И.
Как построить трансивер|Тяпичев Г.
Микросхемы для современных импортных видеомагнитофонов и видеокамер|Аппаратура
Микропроцессорные системы. Архитектура микроконтроллеров семейства MCS-51|Дьяков И. А.
Справочник по технике для видеонаблюдения. Планирование, проектирование, монтаж|Гвоздек М.
Ремонт контрольно-измерительной техники|Горбунов Б. И.
Схемотехника цифровых преобразователей перемещений. Справочник|Домрачев В. Г.
Экспресс-анализ сигналов в инженерных задачах|Мясникова Н. В.
Сетевые и диагностические протоколы современного автомобиля|Палагута К. А.
Активные фильтры с переключаемыми конденсаторами|Гауси М.
Монтаж, наладка, эксплуатация и ремонт систем электроснабжения промышленных предприятий|Полуянович Н. К.
Силовая электроника|Полуянович Н. К.
Основы синтеза линейных электрических цепей. Учебное пособие для радиотехнических и электротехнических специальностей вузов|Матханов П. Н.
В помощь радиолюбителю. Выпуск 26|Кузнецов О. и др.
Силовая электроника. Профессиональные решения|Семенов Б. Ю.
Действие проникающей радиации на радиодетали|Горячева Г. А.
